User:1522130354 Word,User:1522130354 TFIDF,User:1522130355 Word,User:1522130355 TFIDF,User:1521757806 Word,User:1521757806 TFIDF
#test2@broken-cookies,0.0,#test2@broken-cookies,0.0,#test2@broken-cookies,0.004638095305219286
#test3@broken-cookies,0.0,#test3@broken-cookies,0.0,#test3@broken-cookies,0.004638095305219286
#test4@broken-cookies,0.0,#test4@broken-cookies,0.0,#test4@broken-cookies,0.004638095305219286
#test5@broken-cookies,0.0,#test5@broken-cookies,0.0,#test5@broken-cookies,0.004638095305219286
14th,0.0,14th,0.0,14th,0.004638095305219286
3839535,0.0,3839535,0.0,3839535,0.0
5th,0.0,5th,0.0,5th,0.0025131198919347408
6gb,0.0,6gb,0.0,6gb,0.004638095305219286
6jemc7oecscfdmaksyd6w,0.0,6jemc7oecscfdmaksyd6w,0.0,6jemc7oecscfdmaksyd6w,0.004638095305219286
==>,0.0,==>,0.0,==>,0.004638095305219286
>=,0.0,>=,0.0,>=,0.004638095305219286
@@,0.0,@@,0.0,@@,0.004638095305219286
ac,0.0,ac,0.0,ac,0.004638095305219286
accounts,0.0,accounts,0.0,accounts,0.0032973850913702615
activation,0.0,activation,0.0,activation,0.004638095305219286
actually,0.0,actually,0.0,actually,0.0025131198919347408
additional,0.0,additional,0.0,additional,0.004638095305219286
addresses,0.0,addresses,0.0,addresses,0.004638095305219286
admin,0.0,admin,0.0,admin,0.0025131198919347408
already,0.0,already,0.0,already,0.0032973850913702615
analysis,0.04870708834966929,analysis,0.0,analysis,0.0
analytics,0.0,analytics,0.0,analytics,0.0032973850913702615
annoying,0.0,annoying,0.0,annoying,0.004638095305219286
answer,0.0,answer,0.0,answer,0.0032973850913702615
anyone,0.0,anyone,0.0,anyone,0.0025131198919347408
anything,0.0,anything,0.0,anything,0.004638095305219286
api,0.0,api,0.0,api,0.0025131198919347408
app,0.0,app,0.0,app,0.0025131198919347408
application,0.0,application,0.0,application,0.0032973850913702615
archive,0.0,archive,0.0,archive,0.004638095305219286
array,0.0,array,0.0,array,0.004638095305219286
asking,0.0,asking,0.0,asking,0.004638095305219286
aspx,0.0,aspx,0.0,aspx,0.004638095305219286
attached,0.0,attached,0.0,attached,0.004638095305219286
auth,0.0,auth,0.0,auth,0.004638095305219286
azure,0.02890288319081371,azure,0.0,azure,0.001956674877521238
azurehdinsight,0.0,azurehdinsight,0.0,azurehdinsight,0.004638095305219286
better,0.0,better,0.0,better,0.0032973850913702615
bigdatagroup,0.0,bigdatagroup,0.0,bigdatagroup,0.004638095305219286
billion,0.0,billion,0.0,billion,0.004638095305219286
